Title,Link,Address,Price,Bedrooms,Bathrooms,Unit type,Parking included,Size (sqft),Pets friendly,FSA
BACHELOR APARTMENT FOR RENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent/1704787423,"2770 Jane Street, Toronto, ON, M3N 2J1",1675,0.0,1,Apartment,Yes,,,M3N
Renovated 2 Bdm.  Apt. for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-2-bdm-apt-for-rent-in-torontos-danforth-village/1630118945,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",2525,2.0,1,Apartment,Yes,,Yes,M4C
2 BEDROOM APARTMENT FOR RENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent/1710378530,"2770 Jane Street, Toronto, ON, M3N 2J1",2650,2.0,1,Apartment,Yes,,,M3N
One-bedroom Luxury Apartment in Swansea-Bloor West Village,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-luxury-apartment-in-swansea-bloor-west-village/1711912817,"Toronto, ON M6S 3T9",2200,1.0,1,Apartment,No,500.0,,M6S
Renovated Jr. 1 @ Yonge and Davisville,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-jr-1-yonge-and-davisville/1712328562,"155 Balliol Street, Toronto, ON, M4S 1C2",2000,1.0,1,Apartment,Yes,515.0,Yes,M4S
Two-bedroom Luxury Apartment in Swansea-Bloor West Village,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/two-bedroom-luxury-apartment-in-swansea-bloor-west-village/1711910968,"Toronto, ON M6S 3T9",2750,2.0,2,Apartment,No,550.0,,M6S
2 BEDROOM APARTMENTS AVAILABLE IN ETOBICOKE!!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartments-available-in-etobicoke/1712762542,"8 Hill Heights Road, Etobicoke, ON, M8Y 1Z1",1800,1.0,1,Apartment,Yes,,Yes,M8Y
Main & 2nd  Floor 3bedrooms Apt with private Entrance @ Malvern,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-2nd-floor-3bedrooms-apt-with-private-entrance-malvern/1716773840,"Scarborough, ON M1B 1Y6",2700,3.5,1,House,No,500.0,,M1B
Newly Designed 1 Bdrm. for Rent  - Woodbine/Gerrard East,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-designed-1-bdrm-for-rent-woodbine-gerrard-east/1686542799,"763 Woodbine Avenue, Toronto, ON, M4E 2J4",2290,1.0,1,Apartment,Yes,,Yes,M4E
House for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/house-for-rent/1716767798,"67 Dennett Dr, Scarborough, ON M1S 2E9",1800,2.0,2,House,No,250.0,Yes,M1S
Furnished room @ Bathurst/Lawrence - ALL utilities wifi laundry,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-room-bathurst-lawrence-all-utilities-wifi-laundry/1716773421,"Lawrence Avenue West, North York, ON",1530,1.0,1,Apartment,No,700.0,,Unknown
1 Bedroom Apartment for Rent Bathurst /Steeles in North York!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-bathurst-steeles-in-north-york/1707157611,"12 Rockford Road, Toronto, ON, M2R 3A2",1850,1.0,1,Apartment,Yes,,Yes,M2R
2 Bedroom Apartment for Rent Steeles/Bathurst in North York!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-steeles-bathurst-in-north-york/1712992167,"12 Rockford Road, Toronto, ON, M2R 3A2",2575,2.0,1,Apartment,Yes,,Yes,M2R
Renovated 1 Bedroom  + Den Apt.  for Rent in Danforth Village,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bedroom-den-apt-for-rent-in-danforth-village/1692454390,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",2225,1.5,1,Apartment,Yes,,Yes,M4C
Renovated Jr. 1 Bdm. for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-jr-1-bdm-for-rent-in-torontos-danforth-village/1673699130,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",1765,1.0,1,Apartment,Yes,,Yes,M4C
Renovated 3 Bdm.  Apt.  for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-3-bdm-apt-for-rent-in-torontos-danforth-village/1702585293,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",3100,3.0,1,Apartment,Yes,,Yes,M4C
Renovated 2 Bdm. + Den for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-2-bdm-den-for-rent-in-torontos-danforth-village/1682227666,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",2700,2.0,1,Apartment,Yes,,Yes,M4C
Renovated 1 Bdrm.  Apt.  for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bdrm-apt-for-rent-in-torontos-danforth-village/1505826289,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",1950,1.0,1,Apartment,Yes,,Yes,M4C
Renovated 2 Bdm.  Apt. for Rent in Toronto's Danforth Village!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-2-bdm-apt-for-rent-in-torontos-danforth-village/1630118945,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",2525,2.0,1,Apartment,Yes,,Yes,M4C
Fully Renovated 2 Bedroom in Etobicoke!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-renovated-2-bedroom-in-etobicoke/1715985924,"165 La Rose Avenue, Etobicoke, ON, M9P 3S9",2800,2.0,1,Apartment,Yes,833.0,Yes,M9P
"Fully Renovated 2 Bedroom Large, 2 Bath for Rent in Etobicoke!",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-renovated-2-bedroom-large-2-bath-for-rent-in-etobicoke/1710057190,"165 La Rose Avenue, Etobicoke, ON, M9P 3S9",2975,2.0,2,Apartment,Yes,1049.0,Yes,M9P
Story of Midtown Toronto - Story of Midtown Toronto New Studio |,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/story-of-midtown-toronto-story-of-midtown-toronto-new-studio/1713027527,"73 Broadway Avenue, Toronto, ON, M4P 1V1",2040,0.0,1,Apartment,Yes,445.0,Yes,M4P
Wellesley Apartments - 1 Bedroom available at 100 Wellesley Stre,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-1-bedroom-available-at-100-wellesley-stre/1712410935,"100 Wellesley Street East, Toronto, ON, M4Y 1H5",1955,1.0,1,Apartment,Yes,625.0,Yes,M4Y
Wellesley Apartments - Bachelor available at 100 Wellesley Stree,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-bachelor-available-at-100-wellesley-stree/1708203266,"100 Wellesley Street East, Toronto, ON, M4Y 1H5",1695,0.0,1,Apartment,Yes,325.0,Yes,M4Y
2 Bdm. Apartment for Rent in North York!  Bathurst W.  & Finch W,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdm-apartment-for-rent-in-north-york-bathurst-w-finch-w/1712992195,"4 Mascot Place, North York, ON, M2R 1J6",2499,2.0,1,Apartment,Yes,,Yes,M2R
$800/mo ALL INCLUSIVE,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/800-mo-all-inclusive/1716772851,"Toronto, ON M4B",800,2.0,1,Condo,Yes,,,M4B
"Modern 2-Bedroom Suite in The Beaches – A/C, Parking, Laundry",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/modern-2-bedroom-suite-in-the-beaches-a-c-parking-laundry/1716772796,"Woodbine Avenue, Toronto, ON",2500,2.0,1,Apartment,No,850.0,,Unknown
2 Bedroom Apartment For Rent in Toronto - 90 Eastdale,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-in-toronto-90-eastdale/1709744982,"90 Eastdale Avenue, Toronto, ON, M4C 5A2",2650,2.0,1,Apartment,Yes,899.0,,M4C
66 Isabella Street - Junior One Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/66-isabella-street-junior-one-bedroom-apartment-for-rent/1712301183,"66 Isabella Street, Toronto, ON, M4Y 1N3",1899,1.0,1,Apartment,Yes,460.0,Yes,M4Y
66 Isabella Street - Two Bedroom Apartment Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/66-isabella-street-two-bedroom-apartment-apartment-for-rent/1708204056,"66 Isabella Street, Toronto, ON, M4Y 1N3",2699,2.0,1,Apartment,Yes,880.0,Yes,M4Y
221 & 265 Balliol Street - One Bedroom Large Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/221-265-balliol-street-one-bedroom-large-apartment-for-rent/1714792698,"265 Balliol Street, Toronto, ON, M4S 1C8",1999,1.0,1,Apartment,Yes,665.0,Yes,M4S
Luxury 2-Bedroom Renovated Apartment for Rent – Beaches Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-2-bedroom-renovated-apartment-for-rent-beaches-toronto/1716772564,"Woodbine Avenue, Toronto, ON",3750,2.0,1,Apartment,No,1000.0,,Unknown
Last month deferred  | Victoria Park Ave & Eglinton Ave. E.,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/last-month-deferred-victoria-park-ave-eglinton-ave-e/1694984791,"4 & 8 Rannock Street • 880 Pharmacy Avenue, Scarborough, ON, M1L 2N8",1949,1.0,1,Apartment,Yes,,,M1L
2 Bedroom |Victoria Park Ave & Eglinton Ave E. | Call now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-victoria-park-ave-eglinton-ave-e-call-now/1715096845,"4 & 8 Rannock Street • 880 Pharmacy Avenue, Scarborough, ON, M1L 2N8",2449,2.0,1,Apartment,Yes,,,M1L
3 Bed - 1.5 MRF - Don Mills & Eglinton | Easy access to TTC!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bed-1-5-mrf-don-mills-eglinton-easy-access-to-ttc/1715096843,"5 Dufresne Court, Toronto, ON, M3C 1B7",2999,3.0,1,Apartment,Yes,,,M3C
Don Mills & Eglinton | Easy access to TTC | Last month deferred!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/don-mills-eglinton-easy-access-to-ttc-last-month-deferred/1684434540,"5 Dufresne Court, Toronto, ON, M3C 1B7",1925,1.0,1,Apartment,Yes,,,M3C
VP & Eglinton |1.5 Months Free| Eglinton Town Centre | Call now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/vp-eglinton-1-5-months-free-eglinton-town-centre-call-now/1715096838,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",2649,2.0,1,Apartment,Yes,,,M4A
1.5 Months Free | Thorncliffe and Overlea Blvd | Call Now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-5-months-free-thorncliffe-and-overlea-blvd-call-now/1715712536,"6 Grandstand Place, Toronto, ON, M4H 1E4",2349,1.0,1,Apartment,Yes,,,M4H
VP & Eglinton| 1.5 Months FREE| Eglinton Town Centre | Call now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/vp-eglinton-1-5-months-free-eglinton-town-centre-call-now/1648228361,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",1875,1.0,1,Apartment,Yes,,,M4A
Up to 2 Months FREE - Luxury 2 bed - Kipling station! Call Now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/up-to-2-months-free-luxury-2-bed-kipling-station-call-now/1715096876,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",3175,2.0,2,Apartment,Yes,,,M9B
2 Months FREE - Luxury Large Studio - Kipling station! Call Now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-months-free-luxury-large-studio-kipling-station-call-now/1692369826,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",2099,0.0,1,Apartment,Yes,,,M9B
Studio - Thorncliffe Park Drive in East York | 1.5 MFR!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-thorncliffe-park-drive-in-east-york-1-5-mfr/1715712532,"27 Thorncliffe Park Drive, Toronto, ON, M4H 1J2",1765,0.0,1,Apartment,Yes,,,M4H
1 Month FREE | Lawrence Ave E & Victoria Park Ave | Call Now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-month-free-lawrence-ave-e-victoria-park-ave-call-now/1715085497,"1731 Victoria Park Avenue, Scarborough, ON, M1R 1P1",2475,2.0,1,Apartment,Yes,,,M1R
ONE MONTH FREE |Lawrence Ave E & Victoria Park Ave. | Call Now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-month-free-lawrence-ave-e-victoria-park-ave-call-now/1701758625,"1731 Victoria Park Avenue, Scarborough, ON, M1R 1P1",1675,0.0,1,Apartment,Yes,,,M1R
1 Month FREE | Lawrence/Victoria Park Ave - Studio -Call now!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-month-free-lawrence-victoria-park-ave-studio-call-now/1714682364,"1631 Victoria Park Avenue, Scarborough, ON, M1R 1P2",1725,0.0,1,Apartment,Yes,,,M1R
Lawrence and Victoria Park Ave - 1 Bedroom - 1MRF!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/lawrence-and-victoria-park-ave-1-bedroom-1mrf/1716446187,"1594 Victoria Park Avenue, Scarborough, ON, M1R 1P1",2099,1.0,1,Apartment,Yes,,,M1R
